iter	Logloss
0	0.6860109585
1	0.6802890674
2	0.6725439178
3	0.6653702788
4	0.65779527
5	0.6510620464
6	0.6464893067
7	0.6404573992
8	0.6362659601
9	0.6304812615
10	0.625966424
11	0.6199036437
12	0.6146712975
13	0.6090898289
14	0.6028983206
15	0.5980055841
16	0.5939104692
17	0.5878255308
18	0.5831948939
19	0.5778734965
20	0.5733621849
21	0.5677087045
22	0.564146817
23	0.5606630833
24	0.5567258662
25	0.5522393741
26	0.5479497495
27	0.5442884907
28	0.5409639873
29	0.5371383527
30	0.5331263399
31	0.5309531996
32	0.5281048045
33	0.52431741
34	0.5219465877
35	0.5180422943
36	0.5155358891
37	0.5114645466
38	0.5081935255
39	0.504379969
40	0.5015742769
41	0.4992920555
42	0.4964958747
43	0.4934072155
44	0.4904862267
45	0.4875403384
46	0.4840037854
47	0.4813287699
48	0.4791668331
49	0.4772639314
50	0.4749362317
51	0.4725421181
52	0.4695430126
53	0.4669066228
54	0.4644872617
55	0.4619649176
56	0.4598194111
57	0.4582046605
58	0.4556856004
59	0.4538773782
60	0.4521217195
61	0.4497859758
62	0.4485914537
63	0.4462586509
64	0.4443751865
65	0.4413495314
66	0.4400455301
67	0.4380707018
68	0.4366309937
69	0.4346546094
70	0.433255902
71	0.4315087568
72	0.4298116362
73	0.4275584247
74	0.4263444948
75	0.4247757797
76	0.4233970195
77	0.4216073905
78	0.4207155038
79	0.419350757
80	0.4180203417
81	0.4160944989
82	0.4147463287
83	0.4134221173
84	0.4118416593
85	0.4110189535
86	0.409535769
87	0.4085524302
88	0.4073328311
89	0.4064493309
90	0.4046164711
91	0.4036021916
92	0.4026935375
93	0.4015466962
94	0.4002701856
95	0.3987517592
96	0.3970445385
97	0.3963127635
98	0.3952707615
99	0.3943109808
100	0.3933978633
101	0.3923681539
102	0.3912671089
103	0.3899868775
104	0.3888168492
105	0.3874812908
106	0.3864171915
107	0.3855362718
108	0.3844353098
109	0.3832358494
110	0.3823701176
111	0.3813287901
112	0.3807048297
113	0.3794385984
114	0.3785715709
115	0.3774555621
116	0.376191599
117	0.3752604869
118	0.3742671859
119	0.3731643933
120	0.3721428199
121	0.3714699552
122	0.3703696815
123	0.3694700797
124	0.3687174726
125	0.3675967947
126	0.3667964799
127	0.3657732895
128	0.3649058702
129	0.364264611
130	0.3636612889
131	0.3627792666
132	0.3620261138
133	0.3613946522
134	0.3607224623
135	0.3600909583
136	0.3591977345
137	0.3586895139
138	0.3580625511
139	0.3571721358
140	0.3563805534
141	0.3557219744
142	0.3548044597
143	0.3542072928
144	0.353474646
145	0.3529502094
146	0.3525526445
147	0.3514682376
148	0.3510800976
149	0.3504201038
150	0.349957289
151	0.3489661849
152	0.3483268682
153	0.3478363276
154	0.3469100435
155	0.3461027336
156	0.3454753176
157	0.3446438436
158	0.3439359668
159	0.34301397
160	0.3424098692
161	0.3418055664
162	0.3411394473
163	0.3405552684
164	0.3398301842
165	0.3391943979
166	0.3384931318
167	0.3376170232
168	0.3372058558
169	0.3364859303
170	0.3358382128
171	0.3351459259
172	0.3343069109
173	0.3335810667
174	0.3323920618
175	0.331661138
176	0.33101601
177	0.3303200532
178	0.3299175839
179	0.3295022709
180	0.3291238823
181	0.3286615688
182	0.3280381305
183	0.3276756739
184	0.3271230818
185	0.3261361992
186	0.3252214445
187	0.3246785263
188	0.3237126397
189	0.3229826526
190	0.3223191094
191	0.3215645829
192	0.3207629885
193	0.3199927449
194	0.3194777635
195	0.3187576502
196	0.3181446839
197	0.3173053088
198	0.3169195786
199	0.316315843
200	0.3157239573
201	0.3152805428
202	0.3148697159
203	0.3144835775
204	0.3137956163
205	0.3130348213
206	0.3121338946
207	0.3117668236
208	0.3110779844
209	0.3103477158
210	0.3100054735
211	0.3094880703
212	0.3090192262
213	0.308427385
214	0.3081499558
215	0.307894154
216	0.3074128452
217	0.3069561261
218	0.3064250813
219	0.3060937888
220	0.3052756134
221	0.3047839222
222	0.3043446711
223	0.3040439558
224	0.3038114625
225	0.3032609492
226	0.3027355432
227	0.3022598237
228	0.3018397621
229	0.3012934133
230	0.3008489157
231	0.3002335928
232	0.2996964115
233	0.2992005478
234	0.2987501754
235	0.2980146767
236	0.2974581032
237	0.2967978224
238	0.2963651117
239	0.2960246189
240	0.2952964257
241	0.2945175472
242	0.2933617508
243	0.2930677324
244	0.2926523229
245	0.291928831
246	0.2912583303
247	0.2907760206
248	0.2904794079
249	0.2900542718
250	0.2897537321
251	0.2893034393
252	0.2888063801
253	0.2884690997
254	0.2877878162
255	0.2872259851
256	0.2869319628
257	0.286444861
258	0.2861720059
259	0.2852199758
260	0.2848847095
261	0.2842189634
262	0.2837799602
263	0.2834928761
264	0.2831222623
265	0.2826603426
266	0.282047205
267	0.2816354038
268	0.2811609512
269	0.2805655805
270	0.2802147658
271	0.2795415768
272	0.2791977507
273	0.2785274987
274	0.2778612705
275	0.2773351843
276	0.2767461084
277	0.2764291819
278	0.2761286916
279	0.2756873508
280	0.2752638488
281	0.2747642045
282	0.2744289919
283	0.2740535702
284	0.2733946354
285	0.2725301772
286	0.2718878931
287	0.2714728217
288	0.2710587084
289	0.2707451446
290	0.2701876119
291	0.2696322312
292	0.2694045452
293	0.2690261621
294	0.2683625944
295	0.2677831625
296	0.2673029997
297	0.2668848493
298	0.2667202148
299	0.2663824094
300	0.2659448644
301	0.2654518267
302	0.2649733142
303	0.2645483947
304	0.2639095957
305	0.2634443935
306	0.2630933263
307	0.2627147679
308	0.2622077364
309	0.2621288557
310	0.2617790087
311	0.2613472637
312	0.2608158685
313	0.2605363414
314	0.2599957088
315	0.2595765395
316	0.2592001791
317	0.2588386061
318	0.2584976663
319	0.2582549497
320	0.2579844511
321	0.2576316087
322	0.2572553891
323	0.2569126172
324	0.2567431877
325	0.2560895226
326	0.255847333
327	0.2554826699
328	0.2550858077
329	0.2547552343
330	0.2543550885
331	0.2540858847
332	0.2536954801
333	0.2533055539
334	0.2531055152
335	0.2528589592
336	0.2523186167
337	0.2519120386
338	0.2511577225
339	0.2508533902
340	0.2506499625
341	0.2501103663
342	0.2496366651
343	0.249247442
344	0.2488332504
345	0.2485632381
346	0.2480980258
347	0.2474119394
348	0.2470362295
349	0.2465420184
350	0.2461137686
351	0.245819356
352	0.2453907848
353	0.2451001902
354	0.2445388515
355	0.244079865
356	0.2433896928
357	0.2428917946
358	0.2426236996
359	0.2423069504
360	0.241897358
361	0.241424137
362	0.2406378754
363	0.2402942727
364	0.2400297936
365	0.2397542983
366	0.2393725384
367	0.2389068374
368	0.2385571178
369	0.2382074341
370	0.2375261831
371	0.2370607656
372	0.2366958153
373	0.2363282011
374	0.235719483
375	0.2353837797
376	0.2351058387
377	0.2348407994
378	0.2345088432
379	0.2342489078
380	0.2339364061
381	0.2337145545
382	0.2331472413
383	0.2329510181
384	0.2324567652
385	0.2319300996
386	0.2313517236
387	0.231094227
388	0.2308368456
389	0.2305061324
390	0.2302654039
391	0.2298286318
392	0.2295190578
393	0.2292010143
394	0.2289717676
395	0.2285127076
396	0.2282593712
397	0.2279921353
398	0.2277289368
399	0.227500123
400	0.2271807946
401	0.2269732286
402	0.2266958031
403	0.2264487281
404	0.2260698034
405	0.2258261553
406	0.2255822174
407	0.2252793089
408	0.2250136538
409	0.224618643
410	0.2242357299
411	0.2239951253
412	0.2236805694
413	0.2233218211
414	0.2226760995
415	0.2221554609
416	0.221867049
417	0.2214569818
418	0.221165961
419	0.2208568769
420	0.220418743
421	0.2202353008
422	0.2199353744
423	0.2196841518
424	0.2191965773
425	0.2189387587
426	0.2183205831
427	0.2180571004
428	0.2176000585
429	0.2171314664
430	0.2168146064
431	0.216526707
432	0.2160661593
433	0.2155816343
434	0.2150019375
435	0.2145354672
436	0.2142018302
437	0.2140101912
438	0.2136833381
439	0.213413302
440	0.2127992284
441	0.2124736857
442	0.2119909186
443	0.2114479103
444	0.2112349152
445	0.210916495
446	0.2104928486
447	0.2101653386
448	0.2098402448
449	0.20962526
450	0.2092762809
451	0.2089378447
452	0.2085843272
453	0.2083594784
454	0.2081935889
455	0.2078314262
456	0.2074172917
457	0.2071001402
458	0.2068079309
459	0.206420785
460	0.2061562066
461	0.2057650333
462	0.2053240658
463	0.2049597221
464	0.2046424623
465	0.204331546
466	0.2035548628
467	0.2029378829
468	0.2025036098
469	0.202310153
470	0.2016407375
471	0.2012638568
472	0.2007003752
473	0.2002571108
474	0.2001098952
475	0.1996325372
476	0.1991440568
477	0.1987160203
478	0.1984181742
479	0.1981699027
480	0.1978632564
481	0.1974637666
482	0.1971137938
483	0.196850451
484	0.1964978209
485	0.1959206769
486	0.1955905748
487	0.1951806958
488	0.1948539568
489	0.1944714728
490	0.1942053091
491	0.1939481856
492	0.1936108367
493	0.1934316433
494	0.1931584034
495	0.1929701488
496	0.1927356689
497	0.192462291
498	0.1921131824
499	0.1917274946
500	0.1914944003
501	0.1911655363
502	0.1908699187
503	0.190555716
504	0.1901735654
505	0.1897464255
506	0.1896069437
507	0.1892875281
508	0.1888967834
509	0.1885390775
510	0.1881017172
511	0.1876299163
512	0.1872873573
513	0.1869940907
514	0.1867258504
515	0.1865132268
516	0.1861830862
517	0.1857143334
518	0.1853000755
519	0.1850395582
520	0.184787809
521	0.1844350793
522	0.1841320047
523	0.1838665877
524	0.183526545
525	0.1832850514
526	0.1829653905
527	0.1827889896
528	0.1824781702
529	0.1822510947
530	0.1820771706
531	0.1817930732
532	0.181588073
533	0.1812792078
534	0.180905574
535	0.1807495342
536	0.1804291821
537	0.180034947
538	0.179567037
539	0.1791711329
540	0.178873572
541	0.1784827694
542	0.1781751872
543	0.1779089539
544	0.1776733071
545	0.1775315067
546	0.1773336541
547	0.1771064169
548	0.1767019915
549	0.1765982532
550	0.1761830905
551	0.1759912927
552	0.175756488
553	0.1753789641
554	0.175202809
555	0.1748289552
556	0.1746186997
557	0.174211081
558	0.1741217093
559	0.1737118825
560	0.173572712
561	0.1733773536
562	0.1729721766
563	0.1727742206
564	0.1723241654
565	0.1719759264
566	0.1717361817
567	0.1715937022
568	0.1712978621
569	0.1709074118
570	0.1706453267
571	0.1702609175
572	0.1699482143
573	0.1697317587
574	0.1695192095
575	0.1692661681
576	0.169042577
577	0.1687539162
578	0.1684328866
579	0.1681887313
580	0.1680507374
581	0.1677798872
582	0.1673989185
583	0.1672250854
584	0.1668263459
585	0.1664912399
586	0.1662261611
587	0.1659562196
588	0.1657546699
589	0.1654170795
590	0.1652495866
591	0.1649449616
592	0.1645925254
593	0.1642553046
594	0.1640424817
595	0.1637891859
596	0.1635300659
597	0.1634534431
598	0.1633902098
599	0.1632069219
600	0.1629596248
601	0.1628632689
602	0.162595314
603	0.1621939404
604	0.161821424
605	0.1616336979
606	0.1614237583
607	0.1610853747
608	0.1608829605
609	0.1605550332
610	0.1603827802
611	0.1601214845
612	0.1598043614
613	0.1595224382
614	0.1591721949
615	0.1587584132
616	0.1585065582
617	0.1581391266
618	0.1577950877
619	0.1575549741
620	0.1574170338
621	0.1570857399
622	0.1568532551
623	0.156756085
624	0.1564338756
625	0.1561460528
626	0.1560165183
627	0.1556231481
628	0.1553959149
629	0.1551762058
630	0.1549841818
631	0.1546893175
632	0.1544215864
633	0.153970473
634	0.1537036565
635	0.1535340868
636	0.1532572204
637	0.1529880105
638	0.1527872075
639	0.1525713982
640	0.1522087935
641	0.1519759154
642	0.1518627531
643	0.1518024988
644	0.151782065
645	0.1515278388
646	0.1512118497
647	0.1509842451
648	0.1506551529
649	0.1504193136
650	0.150352853
651	0.1500456384
652	0.1497217099
653	0.1496380838
654	0.1495548541
655	0.1492889007
656	0.1489504388
657	0.1487473056
658	0.1486084652
659	0.1482714998
660	0.1479084021
661	0.1477089095
662	0.1475628903
663	0.147317595
664	0.1470083498
665	0.1467760526
666	0.1465249353
667	0.1462305223
668	0.1459683021
669	0.1457671742
670	0.1455712629
671	0.145251474
672	0.1449598257
673	0.1449219719
674	0.1447826456
675	0.144500867
676	0.1443483799
677	0.1441133011
678	0.143792742
679	0.1436135344
680	0.1433774297
681	0.1430863695
682	0.1428798587
683	0.1427468519
684	0.1424184999
685	0.1422205816
686	0.1419122656
687	0.1417556003
688	0.1416859117
689	0.1415528964
690	0.1413067573
691	0.1412245666
692	0.1409287948
693	0.1407267657
694	0.1404407504
695	0.140159477
696	0.1401029004
697	0.1396847146
698	0.1394871173
699	0.1392393577
700	0.1388959271
701	0.1387816508
702	0.138758043
703	0.1387347085
704	0.1384500525
705	0.1381867543
